,Movie,Reviewer,Publish,Review,Date,Score
73,TRY HARDER!,Mimi Wong,Mediaversity Reviews,"While Try Harder! hints at the correlation between anti-Blackness and the model minority myth, it never quite threads anything together.",31/01/2021,79.0
74,TRY HARDER!,Shaun Munro,Flickering Myth,"Inside of a tight 84 minutes, Debbie Lum's documentary about the stressors of the college admissions circus captures its subjects with sustained empathy, proving unexpectedly emotionally involving in the process.",31/01/2021,80.0
75,TRY HARDER!,Hanna B,Film Threat,"Lum balanced everything well as the film is filled with sincere, humorous, and intimate scenes without feeling voyeuristic.",31/01/2021,70.0
76,TRY HARDER!,Sarah Boslaugh,TheArtsStl,"Some viewers may miss the sports-movie structure and exaggerated emphasis on winners and losers, but to my mind, Try Harder! offers something better-a straightforward, honest look at some hard-working students...",30/01/2021,70.0
77,TRY HARDER!,Ryan Lattanzio,indieWire,"Cinematically, ""Try Harder!"" is as unfussy as any doc, but it's also impossible to resist.",30/01/2021,79.0
78,PRESIDENT,Chris Knight,National Post,"Give Danish filmmaker Camilla Nielsson two hours and she’ll bring you up to speed on the nation’s 2018 elections, in which a young, popular politician named Nelson Chamisa took on the ruling elite.",18/02/2022,70.0
79,PRESIDENT,Phuong Le,Guardian,What President does well is show that linear narrative is not necessarily the point in the fight for democracy.,11/01/2022,80.0
80,PRESIDENT,Matt Fagerholm,RogerEbert.com,[A] purposefully infuriating documentary.,17/12/2021,87.5
81,PRESIDENT,Jennie Kermode,Eye for Film,Watching Chamisa himself walk through crowds will set your nerves on edge as Neilsson's camera reveals just how vulnerable he is.,16/12/2021,80.0
82,PRESIDENT,Taylor Baker,Drink in the Movies,"What proceeds is a discussion about the difficulties in claiming victory without the Military eliminating them, violently. Unfortunately their worries are apt.",19/08/2021,70.0
83,PRESIDENT,John Fink,The Film Stage,"A stunning work of deep journalism that proves just how fragile and messy democracy can be, especially in the hands of a ruler who lacks respect for his nation's newly written constitution.",16/02/2021,89.0
84,PRESIDENT,Jason Gorber,POV Magazine,"Its refusal to provide simplistic catharsis to appease audiences makes this film not only vital to our understanding of the region, but also a cautionary tale about illiberal democracies in all their insidious forms.",16/02/2021,94.0
85,PRESIDENT,Shaun Munro,Flickering Myth,"If fundamentally infuriating, President is also a consummately journalistic and surprisingly cinematic indictment of Zimbabwe's democracy-averse governance.",11/02/2021,80.0
86,PRESIDENT,Eric Kohn,indieWire,"Democracy, after all, is always a work in progress - and ""President"" leaves the impression that Zimbabwe's work has a long way to go. Part three can't come soon enough.",11/02/2021,74.0
87,PRESIDENT,Sabina Dana Plasse,Film Threat,"What's startling about the film is its sense of immediacy. Nielsson puts viewers right there, in the thick of it.",05/02/2021,90.0
88,PRESIDENT,Ethan Anderton,Slashfilm,It's infuriating but necessary viewing to better understand the struggles that exist outside of our own borders.,01/02/2021,80.0
89,PRESIDENT,Tim Brayton,Alternate Ending,"May not be the formidable achievement its predecessor was, but it's still a pretty terrific documentary about the enormously hard work of navigating politics.",01/02/2021,80.0
90,PRESIDENT,Matthew Anderson,CineVue,"Bookmarked by parades, deliberate displays of military might, there is a painful symmetry to President.",31/01/2021,80.0
91,PRESIDENT,Rachel Wagner,rachelsreviews.net,When watching movies like this I always ask myself if I'd rather be reading an article on the topic and the answer here is definitely yes.,30/01/2021,40.0
92,THE SCARY OF SIXTY-FIRST,Kevin Carr,Fat Guys at the Movies,"At times it goes into some chilling elements, and then other times it swerves off the rails.",12/03/2022,50.0
93,THE SCARY OF SIXTY-FIRST,Cath Clarke,Guardian,To me this feels like a silly smirking film with zero insights into abuse or conspiracy theories.,01/03/2022,40.0
94,THE SCARY OF SIXTY-FIRST,Stephen Romei,The Australian,"As important as that subject is, this film doesn't work for me. I think it's contrived and pointless. It tells us nothing new.",08/01/2022,40.0
95,THE SCARY OF SIXTY-FIRST,Stephen Silver,Splice Today,"The execution of the film doesn't work at all, but I admired its audacity.",31/12/2021,40.0
96,THE SCARY OF SIXTY-FIRST,Roger Moore,Movie Nation,"So mishandled as to be icky and repellent, as if the last people to exploit those ""handled"" by Epstein and the likes of Prince Andrew are the folks who made and starred in their sordid little movie.",25/12/2021,37.5
97,THE SCARY OF SIXTY-FIRST,Lex Briscuso,Paste Magazine,"Nekrasova's signature snark and monotone sarcasm peppers familiar style with something updated and interesting, even if it's not your cup of tea.",20/12/2021,78.0
98,THE SCARY OF SIXTY-FIRST,Paul Byrnes,Sydney Morning Herald,"As political allegory, it's fairly obtuse. As film-making, it's spirited rather than polished but that has its attractions. As comedy, it's darker than pitch. Be prepared for precious bodily fluids.",20/12/2021,70.0
99,THE SCARY OF SIXTY-FIRST,Liam Lacey,Original Cin,"The Scary of Sixty-First mirrors this sleazy, paranoid political moment, but the execution wobbles between slapdash homage and sophomoric parody.",17/12/2021,64.0
100,THE SCARY OF SIXTY-FIRST,Simon Miraudo,Movie Squad (RTRFM 92.1),"Folks, it's rough stuff. But it's not an empty provocation, and I enjoyed it partly because my mouth was agape in surprise that they were getting away with the big swings they were attempting.",17/12/2021,70.0
101,THE SCARY OF SIXTY-FIRST,Jared Mobarak,Jaredmobarak.com,The Scary of Sixty-First will find an audience firmly affixed to its wavelength who will champion its boldly irreverent style as a cult classic. [I'm sadly not it.],16/12/2021,50.0
102,THE SCARY OF SIXTY-FIRST,Cain Noble-Davies,FILMINK (Australia),... half-formed and jumbled ...,15/12/2021,50.0
103,THE SCARY OF SIXTY-FIRST,Brian Tallerico,RogerEbert.com,"The filmmaking lets down Nekrasova's concept, particularly in a cluttered and sometimes incompetent final act, leaving viewers to wonder what it all means, or if it means anything at all.",03/12/2021,50.0
104,THE SCARY OF SIXTY-FIRST,Anya Stanley,AV Club,"The Scary Of Sixty First cuts, but not very deeply; it's all blade and no handle, a prankish flesh wound of a thriller.",01/12/2021,69.0
105,APEX,Leslie Felperin,Guardian,[A] tedious genre exercise.,10/11/2021,20.0
106,THE SCARY OF SIXTY-FIRST,Jennie Kermode,Eye for Film,"Drifting through the angst-ridden conversations of a classic New York drama before morphing into something more like giallo, the film makes a positive asset of its low production values, which give it a sense of freshness and urgency.",23/10/2021,60.0
107,THE SCARY OF SIXTY-FIRST,James Kleinmann,The Queer Review,"With committed performances from its talented cast, The Scary of Sixty-First is a suitably uncomfortable satirical QAnon-theory-fuellled psychosexual horror that's likely to spark some lively conversations.",28/03/2021,60.0
108,THE SCARY OF SIXTY-FIRST,Josh Encinias,The Film Stage,Dasha Nekrasova's chilling debut manages to firmly place Epstein's crimes in a human story that elucidates the existence of unfathomable evil.,15/03/2021,74.0
109,THE SCARY OF SIXTY-FIRST,Christian Blauvelt,indieWire,"In ""The Scary of Sixty-First,"" Nekrasova takes us on one that's thrilling and unforgettable. Where will she take us next?",06/03/2021,89.0
110,THE SCARY OF SIXTY-FIRST,David Robb,Slant Magazine,"In a way, the film feels like a true heir to the petulant, low-budget horror cinema of the '70s and '80s.",05/03/2021,62.5
111,CLERK,Richard Crouse,Richard Crouse,Doesnt have much of the rebel spirit that make Smith's real life story so compelling.,03/02/2022,60.0
112,CLERK,JimmyO,JoBlo's Movie Network,"It's an enlightening look at the man who captured indie movie lovers' hearts and remains relevant as a filmmaker, a modern pop culture icon, a comic book writer, and pretty much everything in between.",02/12/2021,80.0
113,CLERK,Brian Orndorf,Blu-ray.com,"Laughs are plentiful and memories are crystal clear, following Smith as he returns to past experiences for Ingram, trying to make sense of a career that's endured for decades.",23/11/2021,79.0
114,CLERK,Simon Abrams,RogerEbert.com,"Instead of self-criticism or just plain self-assessment, we mostly get a lot of self-regard and self-pity.",23/11/2021,25.0
115,CLERK,Natalia Keogan,Paste Magazine,"While it's a totally lighthearted and heartwarming tribute, it's also friendly fluff that can't see past its own biases.",23/11/2021,69.0
116,CLERK,Benjamin Gummery,Indie Mac User,"Showing an obvious love and admiration for the subject matter, Ingram's documentary delves deep into the psyche and mythos of Smith, from his humble New Jersey roots to his more recent struggles and constant re-inventions of his career",22/11/2021,90.0
117,CLERK,Nate Adams,The Only Critic,"""Clerk"" finally puts mega comic-book nerd and genre filmmaker Kevin Smith on display for all to see.",28/03/2021,79.0
118,CLERK,Louisa Moore,Screen Zealots,"What makes Clerk such an engaging documentary is its subject. As Smith himself says, how lucky it is that he ""ended up being myself for a living."" There's something to celebrate about that.",24/03/2021,80.0
119,CLERK,Stephen Silver,Tilt Magazine,"While one could ask whether there's anything about Kevin Smith that's left to document, it's a fun trip back through the last quarter-century in the life of Smith.",24/03/2021,80.0
120,CLERK,Mike McGranaghan,Aisle Seat,I thought I knew all there was to know about Kevin Smith. This documentary proved me wrong.,21/03/2021,75.0
121,CLERK,John Fink,The Film Stage,"With a conversational tone framed by extensive archival footage and access to Smith and his family, Clerk is an intimate overview of Smith's universe, inner circle, and influence over the course of his 25-plus year career.",20/03/2021,79.0
122,CLERK,Douglas Davidson,Elements of Madness,"... Ingram's Clerk. explores the man through a series of interviews with those closest to him (friends, family, and creative partners) which create a loving mosaic of The Man Who Would Be King Geek.",19/03/2021,90.0
123,CLERK,Dewey Singleton,AwardsWatch,"Clerk manages to capture the soul of a comic book-loving cinephile who, no matter what stood in his way, managed to overcome and continue down that yellow brick road. Sometimes heart and guts are all one needs.",19/03/2021,80.0
124,CLERK,Bobby LePire,Film Threat,"All in all, it is a fabulous celebration of one of the nicest and most unique voices making films.",18/03/2021,80.0
125,CLERK,Shaun Munro,Flickering Myth,"This deeply personal warts-and-all documentary won't tell diehard fans too much they don't already know, but nevertheless delivers a vibrant portrait of a singular filmmaking talent.",17/03/2021,70.0
126,CLERK,Joey Magidson,Awards Radar,Clerk works both as an introduction to Kevin Smith as well as a gentle reminder that he deserves more kudos than he gets.,17/03/2021,87.5
127,CLERK,Jason Gorber,POV Magazine,"The doc invites genuine admiration for the Smith and his work without descending into mere fanboyism. It's a fine line, but one that Ingram's Clerk manages to toe deftly.",17/03/2021,84.0
128,THE FEAST,Christopher Cross,Tilt Magazine,"A nerve-wracking, poignant tale of capitalisms destruction of nature and a harrowing horror film that is seductive and grotesque in the most satisfying of ways.",15/02/2022,80.0
129,THE FEAST,Natasha Alvar,Cultured Vultures,"The Feast is a blazing meal of fire and brimstone: there is no mercy for the wicked, who are on the receiving end of a zealous fury that can't be stopped.",27/11/2021,80.0
130,THE FEAST,Joe Friar,Fort Worth Report,"The film serves up plenty of gore making this Welsh-language horror ditty the ultimate anti-Thanksgiving thriller. Now, pass the gravy.",26/11/2021,75.0
131,THE FEAST,Rich Cline,Shadows on the Wall,"Strikingly directed by Lee Haven Jones, this Welsh-language drama has a blackly comical surface with churning folk-tale horror elements underneath it.",24/11/2021,80.0
132,THE FEAST,Randy Myers,San Jose Mercury News,"""The Feast "" is horror with a purpose and offers a real sense of how to make a genre picture.",24/11/2021,75.0
133,THE FEAST,Andy Crump,The Playlist,It also helps that the director understands that aesthetics should match up with the setting and that he crafts the film around stillness and abandon. There's much to like about his work here. Just skip the canapes.,23/11/2021,89.0
134,THE FEAST,Josh Goller,Spectrum Culture,"Such quotidian acts as preparing a meal become visceral images that create an atmosphere so ominous that when it unfurls into surrealist nightmare, the result is satisfying.",22/11/2021,85.0
135,THE FEAST,Sarah Bea Milner,Screen Rant,"The Feast is a deeply creepy Welsh film that uses the folk horror subgenre to offer an insightful critique of consumerism, corruption, and greed.",20/11/2021,70.0
136,THE FEAST,Sara Clements,Daily Dead,The Feast is an effective slow burn of intrigue and an engaging tale of supernatural revenge.,20/11/2021,70.0
137,THE FEAST,Alyssa Shotwell,The Mary Sue,"Fans of fantasy/folk horror or those who keep up with global politics (global being the key word, meaning not isolated to anyone one region or county) will catch on sooner and have the luxury of seeing each carefully placed moment.",19/11/2021,80.0
138,THE FEAST,Nick Allen,RogerEbert.com,"It turns out that the disorienting filmmaking has more to say than the story, but at least we can thank this film's wacky explosion of an ending for its earlier slow burn.",19/11/2021,62.5
139,THE FEAST,Sara Michelle Fetters,MovieFreak.com,"Make no mistake, as dinner parties go, this is as tastily abhorrent a one as any I've ever been to.",19/11/2021,75.0
140,THE FEAST,Avi Offer,NYC Movie Guru,"Spellbinding, provocative and deeply unnerving. It's one of the most terrifying horror films of the year.",19/11/2021,90.22666
141,THE FEAST,Isaac Feldberg,Inverse,A new Thanksgiving tradition for horror aficionados with iron-clad stomachs and an appetite for visually striking scares that unsettle through thorny symbolism before their bloodletting begins in earnest.,19/11/2021,80.0
142,THE FEAST,Mark Dujsik,Mark Reviews Movies,[I]n the process of anticipating whatever inevitable fate the filmmakers have in store ... there's very little with which to connect in this story.,19/11/2021,50.0
143,THE FEAST,Jorge Rivera Rubio,QiiBO,"A haunting, slow-burning horror tale about greed & class warfare, escalating within its claustrophobic atmosphere until reaching its bloody demented ending [Review in Spanish]",19/11/2021,80.0
144,THE FEAST,Christian Gallichio,The Film Stage,"The Feast may test one's patience but, for those willing to embrace these Welsh-film's eccentricities, Jones has crafted one of the more horrifying dinner parties this side of The Invitation.",18/11/2021,79.0
145,THE FEAST,Mike McGranaghan,Aisle Seat,"The Feast ultimately feels like a cheat. It withholds the information we need for too long, so that by the time it finally arrives, we no longer care.",18/11/2021,50.0
146,THE FEAST,David Ehrlich,indieWire,"The Feast is never the least bit scary, but this is a film that would rather have its audience licking their lips than hiding their eyes. That always feels like a choice and not a failure.",17/11/2021,74.0
147,THE FEAST,Kyle Anderson,Nerdist,The Feast is a movie that really got under my skin. It's an incredibly slow build that crescendos in one of the most brutal and effective final acts in any recent horror film.,17/11/2021,80.0
148,THE FEAST,Brianna Zigler,Paste Magazine,"Jones suffuses slow-burn tension, disturbing visual elements and murky folk horror into a film that's foundation rests on creeping uncertainties",17/11/2021,60.0
149,THE FEAST,Brian Orndorf,Blu-ray.com,"It's certainly vicious, but it's hard to work up much enthusiasm for the picture's glacial ways.",17/11/2021,64.0
150,THE FEAST,Robert Kojder,Flickering Myth,The Feast is too slow of a slow burn,16/11/2021,40.0
